frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,dtls.handshake.extension.len,dtls.handshake.extension.type,dtls.handshake.session_id,dtls.handshake.session_id_length,dtls.handshake.session_ticket_length,dtls.handshake.sig_hash_alg_len,dtls.handshake.sig_len,dtls.handshake.version,dtls.heartbeat_message.padding,dtls.heartbeat_message.payload_length,dtls.heartbeat_message.payload_length.invalid,dtls.record.content_type,dtls.record.content_type,dtls.record.length,dtls.record.sequence_number,dtls.record.version,dtls.change_cipher_spec,dtls.fragment.count,dtls.handshake.cert_type.types_len,dtls.handshake.certificate_length,dtls.handshake.certificates_length,dtls.handshake.cipher_suites_length,dtls.handshake.comp_methods_length,dtls.handshake.exponent_len,dtls.handshake.extension.len,dtls.handshake.extensions_alpn_str,dtls.handshake.extensions_alpn_str_len,dtls.handshake.extensions_key_share_client_length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.payload
"47","Dec  2, 2022 15:52:00.660418000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"442.675167000","14.235652000",,,
"48","Dec  2, 2022 15:52:05.987469000 EST",,,,"70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"448.002218000","5.327051000",,,
"49","Dec  2, 2022 15:52:13.193121000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"455.207870000","7.205652000",,,
"50","Dec  2, 2022 15:52:19.724299000 EST",,,,"380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"461.739048000","6.531178000",,,
"51","Dec  2, 2022 15:52:26.757762000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"468.772511000","7.033463000",,,
"52","Dec  2, 2022 15:52:40.991899000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"483.006648000","14.234137000",,,
"53","Dec  2, 2022 15:52:55.212318000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"497.227067000","14.220419000",,,
"54","Dec  2, 2022 15:53:09.433205000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"511.447954000","14.220887000",,,
"55","Dec  2, 2022 15:53:23.658479000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"525.673228000","14.225274000",,,
"56","Dec  2, 2022 15:53:36.908697000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"538.923446000","13.250218000",,,
"57","Dec  2, 2022 15:53:42.665080000 EST",,,,"380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"544.679829000","5.756383000",,,
"58","Dec  2, 2022 15:53:49.816721000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"551.831470000","7.151641000",,,
"59","Dec  2, 2022 15:54:04.020829000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"566.035578000","14.204108000",,,
"60","Dec  2, 2022 15:54:18.303176000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"580.317925000","14.282347000",,,
"61","Dec  2, 2022 15:54:32.620128000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"594.634877000","14.316952000",,,
"62","Dec  2, 2022 15:54:46.371601000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"608.386350000","13.751473000",,,
"63","Dec  2, 2022 15:54:59.975117000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"621.989866000","13.603516000",,,
"64","Dec  2, 2022 15:55:06.891341000 EST",,,,"380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"628.906090000","6.916224000",,,
"65","Dec  2, 2022 15:55:14.108495000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"636.123244000","7.217154000",,,
"66","Dec  2, 2022 15:55:27.138739000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"649.153488000","13.030244000",,,
"67","Dec  2, 2022 15:55:41.404992000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"663.419741000","14.266253000",,,
"68","Dec  2, 2022 15:55:55.607953000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"677.622702000","14.202961000",,,
"69","Dec  2, 2022 15:56:09.303498000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"691.318247000","13.695545000",,,
"70","Dec  2, 2022 15:56:23.001507000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"705.016256000","13.698009000",,,
"71","Dec  2, 2022 15:56:29.778725000 EST",,,,"380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"711.793474000","6.777218000",,,
"72","Dec  2, 2022 15:56:37.055637000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"719.070386000","7.276912000",,,
"73","Dec  2, 2022 15:56:50.119824000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"732.134573000","13.064187000",,,
"74","Dec  2, 2022 15:57:04.320677000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"746.335426000","14.200853000",,,
"75","Dec  2, 2022 15:57:18.545985000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"760.560734000","14.225308000",,,
"76","Dec  2, 2022 15:57:31.331376000 EST",,,,"77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"773.346125000","12.785391000",,,
"77","Dec  2, 2022 15:57:32.345202000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"774.359951000","1.013826000",,,
"78","Dec  2, 2022 15:57:45.923376000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787.938125000","13.578174000",,,
