frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,dtls.handshake.extension.len,dtls.handshake.extension.type,dtls.handshake.session_id,dtls.handshake.session_id_length,dtls.handshake.session_ticket_length,dtls.handshake.sig_hash_alg_len,dtls.handshake.sig_len,dtls.handshake.version,dtls.heartbeat_message.padding,dtls.heartbeat_message.payload_length,dtls.heartbeat_message.payload_length.invalid,dtls.record.content_type,dtls.record.content_type,dtls.record.length,dtls.record.sequence_number,dtls.record.version,dtls.change_cipher_spec,dtls.fragment.count,dtls.handshake.cert_type.types_len,dtls.handshake.certificate_length,dtls.handshake.certificates_length,dtls.handshake.cipher_suites_length,dtls.handshake.comp_methods_length,dtls.handshake.exponent_len,dtls.handshake.extension.len,dtls.handshake.extensions_alpn_str,dtls.handshake.extensions_alpn_str_len,dtls.handshake.extensions_key_share_client_length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.payload
"334","Dec 31, 1969 19:55:38.554475000 EST","127.0.0.1","127.0.0.1","6","40","40","1","0",,,,"64","4309","83","4294967295","0","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3334.554475000","0.000000000","3334.554475000","0.000000000",
"335","Dec 31, 1969 19:55:39.553475000 EST","127.0.0.1","127.0.0.1","6","54","54","1","0",,,,"64","119","5","83","14","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3335.553475000","0.999000000","3335.553475000","0.999000000","3635302042572030203534390d0a"
"336","Dec 31, 1969 19:55:39.553475000 EST","127.0.0.1","127.0.0.1","6","54","54","1","0",,,,"64","119","5","83","14","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3335.553475000","0.000000000","3335.553475000","0.000000000","3635302042572030203534390d0a"
"337","Dec 31, 1969 19:55:39.554475000 EST","127.0.0.1","127.0.0.1","6","40","40","1","0",,,,"64","4309","84","4294967295","0","0","0","0x0010","11.002000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3335.554475000","0.001000000","3335.554475000","0.001000000",
"338","Dec 31, 1969 19:55:39.554475000 EST","127.0.0.1","127.0.0.1","6","40","40","1","0",,,,"64","4309","84","4294967295","0","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3335.554475000","0.000000000","3335.554475000","0.000000000",
"339","Dec 31, 1969 19:55:40.553475000 EST","127.0.0.1","127.0.0.1","6","53","53","1","0",,,,"64","119","5","84","13","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3336.553475000","0.999000000","3336.553475000","0.999000000","36353020425720302031340d0a"
"340","Dec 31, 1969 19:55:40.553475000 EST","127.0.0.1","127.0.0.1","6","53","53","1","0",,,,"64","119","5","84","13","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3336.553475000","0.000000000","3336.553475000","0.000000000","36353020425720302031340d0a"
"341","Dec 31, 1969 19:55:40.554475000 EST","127.0.0.1","127.0.0.1","6","40","40","1","0",,,,"64","4309","85","4294967295","0","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3336.554475000","0.001000000","3336.554475000","0.001000000",
"342","Dec 31, 1969 19:55:40.554475000 EST","127.0.0.1","127.0.0.1","6","40","40","1","0",,,,"64","4309","85","4294967295","0","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3336.554475000","0.000000000","3336.554475000","0.000000000",
"343","Dec 31, 1969 19:55:41.553475000 EST","127.0.0.1","127.0.0.1","6","54","54","1","0",,,,"64","119","5","85","14","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3337.553475000","0.999000000","3337.553475000","0.999000000","3635302042572030203534390d0a"
"344","Dec 31, 1969 19:55:41.553475000 EST","127.0.0.1","127.0.0.1","6","54","54","1","0",,,,"64","119","5","85","14","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3337.553475000","0.000000000","3337.553475000","0.000000000","3635302042572030203534390d0a"
"345","Dec 31, 1969 19:55:41.554475000 EST","127.0.0.1","127.0.0.1","6","40","40","1","0",,,,"64","4309","86","4294967295","0","0","0","0x0010","11.001990000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3337.554475000","0.001000000","3337.554475000","0.001000000",
"346","Dec 31, 1969 19:55:41.554475000 EST","127.0.0.1","127.0.0.1","6","40","40","1","0",,,,"64","4309","86","4294967295","0","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3337.554475000","0.000000000","3337.554475000","0.000000000",
"347","Dec 31, 1969 19:55:42.553475000 EST","127.0.0.1","127.0.0.1","6","53","53","1","0",,,,"64","119","5","86","13","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3338.553475000","0.999000000","3338.553475000","0.999000000","36353020425720302031340d0a"
"348","Dec 31, 1969 19:55:42.553475000 EST","127.0.0.1","127.0.0.1","6","53","53","1","0",,,,"64","119","5","86","13","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3338.553475000","0.000000000","3338.553475000","0.000000000","36353020425720302031340d0a"
